Community,Town_Name,Sample Size,Population,General GBV Awareness (%),Sexual GBV Awareness (%),Suspected Sexual GBV From Survey (Past 5 years),Suspected Sexual GBV (2022),Estimated SGBV Cases Reported,Victims: Women,Victims: Men,Estimated Victims: Women,Estimated Victims: Men,Physical GBV Awareness (%),Suspected Physical GBV,Suspected Physical GBV (2022),Estimated PGBV Cases Reported,Victims: Women3,Victims: Men4,Estimated Victims: Women2,Estimated  Victims: Men,Economic GBV Awareness (%),Suspected Economic GBV,Suspected Economic GBV (2022)2,Estimated Cases Reported,Victims: Women33,Victims: Men2,Estimated Victims: Women22,Estimated  Victims: Men3,Reporting rates in %
Aakrah,AAKRAH,68,206,19.36,5.88,0,0,0,0,0,0,0,11.8,5,15,0,5,7,15,21,2.94,6,18,0,5,1,15,3,0
Akwidaa,AKWIDAA,151,956,16.67,1.32,14,89,2,11,3,70,19,11.3,26,165,5,24,2,152,13,62.91,95,601,17,78,17,494,108,2.78
Ankobra,ANKOBRA,78,256,41.45,25.64,32,105,12,30,2,98,7,83.3,38,125,14,29,9,95,30,66.67,56,184,20,50,6,164,20,11.11
Anomabo,ANOMABO,184,3600,39.49,29.35,80,1565,22,60,20,1174,391,96.7,85,1663,23,61,24,1193,470,29.35,98,1917,27,74,24,1448,470,1.39
Asanta,ASANTA,135,711,31.36,44.44,24,126,0,17,7,90,37,83,12,63,0,5,7,26,37,7.41,11,58,0,8,3,42,16,0
Biriwa,BIRIWA,162,1651,37.14,56.79,85,866,48,67,18,683,183,78.4,83,846,47,63,20,642,204,29.01,122,1244,69,90,32,917,326,5.56
British Komenda,BRITISH KOMENDA,179,3410,40.32,20.11,81,1543,86,58,23,1105,438,89.9,69,1314,73,45,24,857,457,37.99,107,2038,113,71,36,1352,686,5.56
Cape Three Points,CAPE THREE POINTS,107,308,16.98,3.74,8,23,0,6,2,17,6,18.7,28,81,0,22,6,63,17,54.21,81,233,0,63,18,181,52,0
Dago,DAGO,151,1267,57.06,43.05,37,310,4,24,13,201,109,92.7,51,428,6,22,29,185,243,78.15,43,361,5,24,19,201,159,1.39
Dixcove,DIXCOVE,156,1378,56.62,87.82,103,910,404,60,43,530,380,75.6,51,450,200,31,20,274,177,72.44,75,662,294,49,26,433,230,44.44
Dutch Komenda,DUTCH KOMENDA,116,552,49.43,42.24,56,267,11,34,22,162,105,86.2,37,176,7,19,18,90,86,49.14,80,381,16,49,31,233,148,4.17
Ekwei,EKWEI,118,520,38.98,54.24,25,110,0,17,8,75,35,92.4,13,57,0,9,4,40,18,14.41,19,84,0,10,9,44,40,0
Ellonyi,ELLONYI,100,400,47,2,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,97,3,12,1,1,2,4,8,6.94
Ezinlibo,EZINLIBO,160,1418,36.04,0.63,42,372,0,22,20,195,177,45,155,1374,0,85,70,753,620,50,35,310,0,18,17,160,151,0
Metika,METIKA,93,355,47.31,3.23,10,38,5,8,2,31,8,35.5,22,84,10,18,4,69,15,97.85,48,183,23,32,16,122,61,12.5
Mumford,MUMFORD,183,3811,62.11,68.85,59,1229,0,51,8,1062,167,95.1,48,999,0,26,22,541,458,76.5,43,895,0,33,10,687,208,0
Narkwah,NAKWA,146,1081,17.35,0.68,5,37,0,4,1,30,7,3.4,2,15,0,1,1,7,7,0,13,96,0,13,,96,0,0
Otuam,OTUAM,148,1109,44.71,14.19,41,307,13,27,14,202,105,94.6,25,187,8,10,15,75,112,50,70,525,22,38,32,285,240,4.17
